z09	z80	36203.27965950022
z80	z09	36203.27965950022
z26	z50	35362.90652308925
z50	z26	35362.90652308925
z14	z41	34715.37775463953
z41	z14	34715.37775463953
z21	z44	34538.01391484404
z44	z21	34538.01391484404
z12	z73	33645.198909604
z73	z12	33645.198909604
z09	z44	33296.596675740875
z44	z09	33296.596675740875
z73	z93	33244.12097181657
z93	z73	33244.12097181657
z47	z86	32361.124323148473
z86	z47	32361.124323148473
z27	z31	32190.75134910549
z31	z27	32190.75134910549
z12	z31	32130.622648845965
z31	z12	32130.622648845965
z94	z98	32103.9848234638
z98	z94	32103.9848234638
z12	z74	32086.524926408725
z74	z12	32086.524926408725
z15	z21	32063.051054593874
z21	z15	32063.051054593874
z12	z86	32047.002605876012
z86	z12	32047.002605876012
z12	z83	31942.846058977208
z83	z12	31942.846058977208
z12	z93	31926.64975127878
z93	z12	31926.64975127878
z21	z51	31878.426333796677
z51	z21	31878.426333796677
z25	z68	31678.30871498519
z68	z25	31678.30871498519
z15	z44	31636.957219715794
z44	z15	31636.957219715794
z87	z96	31635.275816947244
z96	z87	31635.275816947244
z00	z73	31612.700725723527
z73	z00	31612.700725723527
z26	z56	31611.218922359338
z56	z26	31611.218922359338
z15	z74	31482.930434657406
z74	z15	31482.930434657406
z00	z45	31439.440032515664
z45	z00	31439.440032515664
z31	z44	31360.535149975465
z44	z31	31360.535149975465
z02	z98	31257.45015534249
z98	z02	31257.45015534249
z38	z41	31154.140846155457
z41	z38	31154.140846155457
z37	z44	31064.022737646494
z44	z37	31064.022737646494
z04	z97	31032.82139243677
z97	z04	31032.82139243677
z37	z74	30998.126925596276
z74	z37	30998.126925596276
z10	z84	30967.167378218655
z84	z10	30967.167378218655
z31	z74	30937.141342706644
z74	z31	30937.141342706644
z65	z79	30911.09205642661
z79	z65	30911.09205642661
z33	z85	30848.698941573246
z85	z33	30848.698941573246
z64	z66	30807.74401572041
z66	z64	30807.74401572041
z83	z86	30766.050763537376
z86	z83	30766.050763537376
z72	z87	30697.980367322358
z87	z72	30697.980367322358
z61	z68	30685.64098609505
z68	z61	30685.64098609505
z20	z66	30634.554089149766
z66	z20	30634.554089149766
z08	z96	30607.460923553917
z96	z08	30607.460923553917
z08	z35	30575.493163348383
z35	z08	30575.493163348383
z45	z99	30522.068276150287
z99	z45	30522.068276150287
z33	z38	30520.46899542933
